budget,company,country,genre,gross,rating,runtime,score,votes,year
35000000,Metro-Goldwyn-Mayer (MGM),USA,Action,57269863,PG,126,7.3,86056,1988
70000000,Touchstone Pictures,USA,Animation,156452370,PG,104,7.7,153513,1988
20000000,Touchstone Pictures,USA,Comedy,78222753,R,104,5.8,65825,1988
19000000,TriStar Pictures,USA,Horror,8247943,R,95,6.4,24931,1988
7500000,Metro-Goldwyn-Mayer (MGM),UK,Comedy,63493712,R,108,7.6,114144,1988
30000000,Universal Pictures,USA,Action,38413606,R,126,7.6,58318,1988
28000000,Walt Disney Pictures,USA,Comedy,64000000,R,113,6.7,44277,1988
12500000,Universal Pictures,USA,Animation,48092846,G,69,7.4,66623,1988
15000000,Universal Pictures,USA,Comedy,111936400,PG,107,6,94295,1988
7000000,Universal Pictures,Canada,Drama,7630564,R,164,7.6,42782,1988
2000000,New Line Cinema,USA,Comedy,6671108,PG,92,7,17169,1988
13000000,New Line Cinema,USA,Horror,49369899,R,93,5.7,39701,1988
7500000,Warner Bros.,USA,Action,18869631,R,99,6,24061,1988
31000000,Walt Disney Pictures,USA,Animation,74151346,G,74,6.7,35531,1988
31000000,Warner Bros.,USA,Action,37903295,R,91,6.3,33312,1988
20000000,Warner Bros.,USA,Crime,17637950,R,120,6.9,41608,1988
8000000,Walt Disney Pictures,USA,Comedy,22433275,PG-13,88,6.3,14929,1988
10500000,Metro-Goldwyn-Mayer (MGM),USA,Horror,14114488,PG-13,98,4.6,14165,1988
4500000,New Line Cinema,USA,Comedy,3813293,PG-13,86,5.3,11122,1988
0,TriStar Pictures,USA,Comedy,21630088,PG,110,5.6,19841,1988
22000000,Universal Pictures,USA,Biography,24720479,PG-13,129,7,20378,1988
0,Metro-Goldwyn-Mayer (MGM),UK,Comedy,401421,R,94,6,2369,1988
7000000,Universal Pictures,USA,Fantasy,19595031,R,98,6.5,18528,1988
5000000,Columbia Pictures Industries,Sweden,Family,3569939,G,100,5.9,3474,1988
0,Touchstone Pictures,USA,Comedy,40150487,PG,97,6.3,9728,1988
